"Year";"Region";"Population";"Sex";"Length (cm)";"Length (mm)";"Latitude"
2010;"South";"New Jersey";"F";;10.5;39.6429
2010;"South";"New Jersey";"F";;10.5;39.6429
2010;"South";"New Jersey";"F";;10;39.6429
2010;"South";"New Jersey";"F";;10;39.6429
2010;"South";"New Jersey";"F";;10;39.6429
2010;"South";"New Jersey";"F";;10;39.6429
2010;"South";"New Jersey";"F";;10;39.6429
2010;"South";"New Jersey";"F";;10;39.6429
2010;"South";"New Jersey";"F";;10;39.6429
2010;"South";"New Jersey";"F";;10;39.6429
2010;"South";"New Jersey";"F";;10;39.6429
2010;"South";"New Jersey";"F";;9.5;39.6429
2010;"South";"New Jersey";"F";;9.5;39.6429
2010;"South";"New Jersey";"F";;9.5;39.6429
2010;"South";"New Jersey";"F";;9.5;39.6429
2010;"South";"New Jersey";"F";;9.5;39.6429
2010;"South";"New Jersey";"F";;9.5;39.6429
2010;"South";"New Jersey";"F";;9;39.6429
2010;"South";"New Jersey";"F";;9;39.6429
2010;"South";"New Jersey";"F";;9;39.6429
2010;"South";"New Jersey";"F";;9;39.6429
2010;"South";"New Jersey";"F";;9;39.6429
2010;"South";"New Jersey";"F";;9;39.6429
2010;"South";"New Jersey";"F";;9;39.6429
2010;"South";"New Jersey";"F";;9;39.6429
2010;"South";"New Jersey";"F";;9;39.6429
2010;"South";"New Jersey";"F";;8.5;39.6429
2010;"South";"New Jersey";"F";;8;39.6429
2010;"South";"New Jersey";"F";;8;39.6429
2010;"South";"New Jersey";"F";;8;39.6429
